"miRNA","mean_WT_log","mean_MT_log","t_statistic","p_value","log2_fold_change","conf_low_log2","conf_high_log2"
"miR-1007",0.13830621475375,0.37382088697861,-3.38752363341123,0.0275930004974351,-0.339775849675396,-0.618259218880913,-0.0612924804698784
"miR-1014",0.13830621475375,0.435231694375006,-3.37987422567078,0.0277886866737714,-0.428372916963164,-0.78026586004025,-0.0764799738860784
"miR-11",0.138178424715135,0.74280243902753,-2.87605783808805,0.0347477197569501,-0.87228806705087,-1.65192741606129,-0.0926487180404516
"miR-124",0.153207882537636,0.0798672300159313,4.95201620157611,0.00775005814689369,0.105808195688623,0.046484753468061,0.165131637909186
"miR-133",0.137738107218119,0.577715924928697,-3.28539214396476,0.0303465466911729,-0.6347538157122,-1.17117657665329,-0.0983310547711047
"miR-137",0.13830621475375,0.142691143415225,-0.143599093879493,0.892760862955047,-0.00632611483456286,-0.128639634320144,0.115987404651019
"miR-219",0.191567529315747,0.334718985119482,-1.10097323251915,0.321065350579462,-0.206523895384085,-0.688721426094668,0.275673635326499
"miR-263b",0.13830621475375,0.160199699462689,-0.337078205189391,0.75300241453785,-0.0315856218173648,-0.291750010197736,0.228578766563006
"miR-274",0.191567529315747,0.161743749110118,0.623228571355187,0.560457254751068,0.0430266198032239,-0.134441892390455,0.220495131996903
"miR-276b",0.191567529315747,0.272024735215923,-1.18230255879442,0.290241711197133,-0.116075211955967,-0.368447863272817,0.136297439360884
"miR-278",0.138178424715135,0.228686897325213,-1.06950005379888,0.333734137655655,-0.130576124592995,-0.444420535216706,0.183268286030717
"miR-282",0.161122672853975,0.468867332695701,-4.05104930173361,0.015462336839513,-0.44398169461372,-0.748270956726666,-0.139692432500774
"miR-283",0.135309886295374,0.00482803458064633,4.28351571779226,0.0233779812045951,0.188245520394847,0.048388146140701,0.328102894648994
"miR-285",0.140870263875547,0.22216735878482,-0.817339149021368,0.499613175629254,-0.117286915664287,-0.734710990420855,0.500137159092281
"miR-2b-1",0.121410481807318,0.225578759250848,-2.87830968926902,0.063616765924731,-0.150283057285727,-0.316445775004668,0.0158796604332143
"miR-304",0.158455957300238,0.00283607673963117,6.53883012299804,0.0225985712098551,0.224512029948521,0.0767795945818274,0.372244465315214
"miR-31a",0.13830621475375,0.250843903123393,-2.10899572471007,0.102606589216007,-0.162357564923993,-0.376097621930045,0.0513824920820601
"miR-31b",0.11083662032129,0.0812005068650823,0.522516759239249,0.653424198299119,0.0427558739144936,-0.309316426845504,0.394828174674491
"miR-375",0.228452182132433,0.4387863045203,-1.60635657279255,0.183470374830617,-0.303447995298707,-0.827930987119466,0.221034996522052
"miR-87",0.276815051488271,0.3473178834252,-1.88229600807353,0.200508256637402,-0.101714086004035,-0.334217575318208,0.130789403310137
"miR-92a",0.13830621475375,0.341599346493035,-2.07484557638199,0.106643308280082,-0.293289993007054,-0.68575465387491,0.0991746678608027
"miR-932",0.202093177205388,0.245519020064297,-0.639726722378062,0.550507236733299,-0.0626502481389711,-0.314394601205048,0.189094104927105
"miR-958",0.138178424715135,0.215177359675111,-0.991880913206955,0.366799160451458,-0.11108598162049,-0.398979016706932,0.176807053465951
"miR-965",0.228452182132433,0.631928180900562,-2.79603706804221,0.0490091868351988,-0.582092822540501,-1.16010689337861,-0.00407875170238768
"miR-966",0.202093177205388,0.838518661216858,-3.12654176309141,0.0260589606719683,-0.918167889678705,-1.67306767292641,-0.163268106430999
"miR-967",0.238045592399377,0.595232080809142,-1.97681492416062,0.186695415820256,-0.51531117550131,-1.63691593922625,0.606293588223632
"miR-971",0.139426259490326,0.0797222301353082,1.72922406901662,0.158826640675386,0.0861347070715726,-0.0521633250466783,0.224432739189823
"miR-986",0.202093177205388,0.115201707134241,1.86154371011681,0.121729043025913,0.125357892967196,-0.0477472137589277,0.298462999693319
"miR-988",0.153207882537636,0.0554739729753233,7.54096362305333,0.00165642059743109,0.141000226652238,0.0890865179156516,0.192913935388825
"miR-989",0.202093177205388,0.198255921234751,0.120943199909631,0.908445984641962,0.00553599015946073,-0.112128465194825,0.123200445513746
"miR-990",0.202093177205388,0.203572217159753,-0.0371555204503252,0.971798817847302,-0.00213380360743865,-0.149759694124308,0.145492086909431
"miR-999",0.140870263875547,0.0322717147343041,13.8201766423879,0.0051949136722612,0.156674588293808,0.107896894459046,0.20545228212857
"miR-9c",0.219182890622849,0.209297320333027,0.114122806344045,0.914639344195698,0.014261863233485,-0.332708927567402,0.361232654034372
